Time,THERMAL ZONE 3:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3::Des Sens Cool Load [W],THERMAL ZONE 3:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3::Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4::Des Sens Cool Load [W],THERMAL ZONE 4:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4::Des Cool Mass Flow [kg/s],THERMAL ZONE 1:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,2.070434E+02,0.000000E+00,1.269007E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00 
00:30:00,2.070434E+02,0.000000E+00,1.269007E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00 
00:45:00,2.070434E+02,0.000000E+00,1.269007E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00 
01:00:00,2.070434E+02,0.000000E+00,1.269007E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00 
01:15:00,2.070434E+02,0.000000E+00,1.269007E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00 
01:30:00,2.070434E+02,0.000000E+00,1.269007E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00 
01:45:00,2.070434E+02,0.000000E+00,1.269007E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00 
02:00:00,2.070434E+02,0.000000E+00,1.269007E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00 
02:15:00,2.070434E+02,0.000000E+00,1.269007E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00 
02:30:00,2.070434E+02,0.000000E+00,1.269007E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00 
02:45:00,2.070434E+02,0.000000E+00,1.269007E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00 
03:00:00,2.070434E+02,0.000000E+00,1.269007E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00 
03:15:00,2.070434E+02,0.000000E+00,1.269007E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00 
03:30:00,2.070434E+02,0.000000E+00,1.269007E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00 
03:45:00,2.070434E+02,0.000000E+00,1.269007E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00 
04:00:00,2.070434E+02,0.000000E+00,1.269007E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00 
04:15:00,2.070434E+02,0.000000E+00,1.269007E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00 
04:30:00,2.070434E+02,0.000000E+00,1.269007E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00 
04:45:00,2.070434E+02,0.000000E+00,1.269007E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00 
05:00:00,2.070434E+02,0.000000E+00,1.269007E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00 
05:15:00,2.070434E+02,0.000000E+00,1.269007E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00 
05:30:00,2.070434E+02,0.000000E+00,1.269007E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00 
05:45:00,2.070434E+02,0.000000E+00,1.269007E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00 
06:00:00,2.070434E+02,0.000000E+00,1.269007E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00 
06:15:00,2.070434E+02,0.000000E+00,1.269007E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00 
06:30:00,2.070434E+02,0.000000E+00,1.269007E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00 
06:45:00,2.070434E+02,0.000000E+00,1.269007E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00 
07:00:00,2.070434E+02,0.000000E+00,1.269007E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00,9.223257E+02,0.000000E+00,5.653104E-02,0.000000E+00,9.258592E+02,0.000000E+00,5.674761E-02,0.000000E+00 
