Time,THERMAL ZONE 4:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4::Des Sens Cool Load [W],THERMAL ZONE 4:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4::Des Cool Mass Flow [kg/s],THERMAL ZONE 1:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1::Des Sens Cool Load [W],THERMAL ZONE 1:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1::Des Cool Mass Flow [kg/s],THERMAL ZONE 5:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3::Des Sens Cool Load [W],THERMAL ZONE 3:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3::Des Cool Mass Flow [kg/s],THERMAL ZONE 2:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2::Des Sens Cool Load [W],THERMAL ZONE 2:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2::Des Cool Mass Flow [kg/s] 
00:15:00,4.186470E+02,0.000000E+00,2.565964E-02,0.000000E+00,1.160915E+03,0.000000E+00,7.115460E-02,0.000000E+00,1.164385E+03,0.000000E+00,7.136728E-02,0.000000E+00,1.164287E+03,0.000000E+00,7.136127E-02,0.000000E+00,1.164287E+03,0.000000E+00,7.136127E-02,0.000000E+00 
00:30:00,4.186470E+02,0.000000E+00,2.565964E-02,0.000000E+00,1.160915E+03,0.000000E+00,7.115460E-02,0.000000E+00,1.164385E+03,0.000000E+00,7.136728E-02,0.000000E+00,1.164287E+03,0.000000E+00,7.136127E-02,0.000000E+00,1.164287E+03,0.000000E+00,7.136127E-02,0.000000E+00 
00:45:00,4.186470E+02,0.000000E+00,2.565964E-02,0.000000E+00,1.160915E+03,0.000000E+00,7.115460E-02,0.000000E+00,1.164385E+03,0.000000E+00,7.136728E-02,0.000000E+00,1.164287E+03,0.000000E+00,7.136127E-02,0.000000E+00,1.164287E+03,0.000000E+00,7.136127E-02,0.000000E+00 
01:00:00,4.186470E+02,0.000000E+00,2.565964E-02,0.000000E+00,1.160915E+03,0.000000E+00,7.115460E-02,0.000000E+00,1.164385E+03,0.000000E+00,7.136728E-02,0.000000E+00,1.164287E+03,0.000000E+00,7.136127E-02,0.000000E+00,1.164287E+03,0.000000E+00,7.136127E-02,0.000000E+00 
01:15:00,4.186470E+02,0.000000E+00,2.565964E-02,0.000000E+00,1.160915E+03,0.000000E+00,7.115460E-02,0.000000E+00,1.164385E+03,0.000000E+00,7.136728E-02,0.000000E+00,1.164287E+03,0.000000E+00,7.136127E-02,0.000000E+00,1.164287E+03,0.000000E+00,7.136127E-02,0.000000E+00 
01:30:00,4.186470E+02,0.000000E+00,2.565964E-02,0.000000E+00,1.160915E+03,0.000000E+00,7.115460E-02,0.000000E+00,1.164385E+03,0.000000E+00,7.136728E-02,0.000000E+00,1.164287E+03,0.000000E+00,7.136127E-02,0.000000E+00,1.164287E+03,0.000000E+00,7.136127E-02,0.000000E+00 
01:45:00,4.186470E+02,0.000000E+00,2.565964E-02,0.000000E+00,1.160915E+03,0.000000E+00,7.115460E-02,0.000000E+00,1.164385E+03,0.000000E+00,7.136728E-02,0.000000E+00,1.164287E+03,0.000000E+00,7.136127E-02,0.000000E+00,1.164287E+03,0.000000E+00,7.136127E-02,0.000000E+00 
02:00:00,4.186470E+02,0.000000E+00,2.565964E-02,0.000000E+00,1.160915E+03,0.000000E+00,7.115460E-02,0.000000E+00,1.164385E+03,0.000000E+00,7.136728E-02,0.000000E+00,1.164287E+03,0.000000E+00,7.136127E-02,0.000000E+00,1.164287E+03,0.000000E+00,7.136127E-02,0.000000E+00 
02:15:00,4.186470E+02,0.000000E+00,2.565964E-02,0.000000E+00,1.160915E+03,0.000000E+00,7.115460E-02,0.000000E+00,1.164385E+03,0.000000E+00,7.136728E-02,0.000000E+00,1.164287E+03,0.000000E+00,7.136127E-02,0.000000E+00,1.164287E+03,0.000000E+00,7.136127E-02,0.000000E+00 
02:30:00,4.186470E+02,0.000000E+00,2.565964E-02,0.000000E+00,1.160915E+03,0.000000E+00,7.115460E-02,0.000000E+00,1.164385E+03,0.000000E+00,7.136728E-02,0.000000E+00,1.164287E+03,0.000000E+00,7.136127E-02,0.000000E+00,1.164287E+03,0.000000E+00,7.136127E-02,0.000000E+00 
